iter	MultiClass
0	2.166677599
1	2.123754258
2	2.1086882
3	2.045308804
4	2.011426262
5	1.968350963
6	1.931018876
7	1.895008146
8	1.87311984
9	1.835841415
10	1.791432911
11	1.766899626
12	1.764353996
13	1.744778616
14	1.743368063
15	1.723227889
16	1.704058241
17	1.703161676
18	1.680225013
19	1.645097781
20	1.612413099
21	1.585087473
22	1.554666861
23	1.53018177
24	1.522201839
25	1.516278887
26	1.483932031
27	1.471195056
28	1.447053967
29	1.426643717
30	1.405224471
31	1.38551446
32	1.376522042
33	1.370127613
34	1.354777483
35	1.343483127
36	1.335285274
37	1.33010484
38	1.317083375
39	1.307839927
40	1.301753169
41	1.29904643
42	1.28004181
43	1.270090793
44	1.255758757
45	1.241892536
46	1.22538486
47	1.215214843
48	1.198059266
49	1.186629372
50	1.184852387
51	1.170477058
52	1.164661415
53	1.157588058
54	1.148184724
55	1.144335434
56	1.13753746
57	1.131506236
58	1.124939205
59	1.114447288
60	1.111622455
61	1.0942187
62	1.081890971
63	1.074493743
64	1.064411859
65	1.059173276
66	1.042422811
67	1.029917592
68	1.013397116
69	1.00313403
70	0.9895443336
71	0.9835822448
72	0.975122234
73	0.9634071699
74	0.9503077589
75	0.941145561
76	0.9316063196
77	0.9169089168
78	0.9065738674
79	0.9034355623
80	0.8914533105
81	0.8856510626
82	0.8785752592
83	0.8644796444
84	0.8609209739
85	0.8524070183
86	0.8479922283
87	0.8381616889
88	0.8341179804
89	0.8258817353
90	0.820054886
91	0.816790566
92	0.8106684247
93	0.8027226073
94	0.7951995252
95	0.7884708213
96	0.7813216241
97	0.7774859232
98	0.7661012204
99	0.7624231957
100	0.7548833837
101	0.7515208991
102	0.7420412874
103	0.7337096414
104	0.7281349504
105	0.7271688974
106	0.7203783639
107	0.713427482
108	0.7090891218
109	0.7060887734
110	0.7013795347
111	0.6950863429
112	0.6871244995
113	0.6857143074
114	0.6829076898
115	0.6790783099
116	0.6754288471
117	0.66841297
118	0.6652741649
119	0.6613378342
120	0.6569053855
121	0.6546015727
122	0.6503242153
123	0.6428020239
124	0.6375140804
125	0.6330393141
126	0.6268234237
127	0.6202478714
128	0.6150694813
129	0.610493613
130	0.6030332315
131	0.599502797
132	0.59608312
133	0.5923697364
134	0.588229676
135	0.5849241034
136	0.5797693701
137	0.5753597477
138	0.5701212141
139	0.5661285913
140	0.5619871887
141	0.5570454373
142	0.5511535485
143	0.5445747371
144	0.5409538734
145	0.5383073853
146	0.534423977
147	0.5307919534
148	0.5271135601
149	0.5250971611
150	0.5212111989
151	0.5176062022
152	0.5157497608
153	0.5133577713
154	0.5082997487
155	0.5052882922
156	0.5013708071
157	0.4968635506
158	0.4937632997
159	0.4912984425
160	0.4873198132
161	0.4834146587
162	0.4802129158
163	0.476950659
164	0.4744291645
165	0.4720846349
166	0.4681108128
167	0.4638839647
168	0.4614785086
169	0.4606193983
170	0.457603496
171	0.4555815146
172	0.4522303218
173	0.4495922645
174	0.4478009217
175	0.4465448732
176	0.4442141175
177	0.4404876825
178	0.4374935819
179	0.4355485579
180	0.4322302174
181	0.4310936974
182	0.4302229742
183	0.427759877
184	0.4253877846
185	0.4219430935
186	0.419846921
187	0.4169210668
188	0.4157144704
189	0.4133269399
190	0.4109374016
191	0.4082832761
192	0.4054755221
193	0.4034543965
194	0.4009444125
195	0.3984431496
196	0.3965709205
197	0.3939983215
198	0.3929364661
199	0.3899897793
200	0.3872290916
201	0.3858175129
202	0.3844716199
203	0.3827927394
204	0.3799535571
205	0.3788511636
206	0.3753333944
207	0.3728881614
208	0.3723232512
209	0.3707482627
210	0.3690943034
211	0.3678576217
212	0.3666132456
213	0.3641380671
214	0.3623306914
215	0.3615163637
216	0.359707853
217	0.3594103086
218	0.3567193202
219	0.3548596742
220	0.3522258951
221	0.3507695251
222	0.3492806652
223	0.347811436
224	0.3463060681
225	0.3447710842
226	0.3431081635
227	0.3412881873
228	0.3392684402
229	0.3383061332
230	0.336948928
231	0.3343789694
232	0.3320204749
233	0.3307412462
234	0.3293393705
235	0.3277426486
236	0.3259307333
237	0.3247893422
238	0.322628921
239	0.3207731276
240	0.3196203648
241	0.3182893323
242	0.316214315
243	0.3147874583
244	0.3133823309
245	0.3114214177
246	0.3103188515
247	0.3087564868
248	0.307753669
249	0.3073577408
250	0.3058438562
251	0.3049899736
252	0.3040703233
253	0.303893776
254	0.3022258386
255	0.3010388201
256	0.3001682646
257	0.2990476257
258	0.2981080912
259	0.2971624818
260	0.2965645814
261	0.2944093623
262	0.2930034719
263	0.291601117
264	0.2896764632
265	0.2882895929
266	0.2864866394
267	0.2860291284
268	0.2845617724
269	0.2839902724
270	0.2831552578
271	0.2811489333
272	0.279881326
273	0.2788192947
274	0.2780748052
275	0.2767340509
276	0.2755419942
277	0.2743980933
278	0.2733371636
279	0.2727704291
280	0.2714840197
281	0.2713473611
282	0.2702455407
283	0.2687390752
284	0.2677127663
285	0.2664302778
286	0.2645641063
287	0.2630635108
288	0.2621911374
289	0.2607628543
290	0.2599176292
291	0.2585427574
292	0.2571277311
293	0.2563758591
294	0.2555564965
295	0.2546536019
296	0.2539055271
297	0.252526247
298	0.2518045188
299	0.2507142419
300	0.2497640515
301	0.2487008038
302	0.2481769356
303	0.2470556957
304	0.2457952218
305	0.2449040318
306	0.2441670856
307	0.2433538476
308	0.2421178599
309	0.2413710439
310	0.2400501012
311	0.2389618314
312	0.2373852094
313	0.2365892368
314	0.2359192032
315	0.2345020517
316	0.2333005538
317	0.2322342298
318	0.2314974336
319	0.2304763637
320	0.2293719075
321	0.2282575041
322	0.2274547669
323	0.2268755723
324	0.2262545562
325	0.2252026905
326	0.2247307387
327	0.2237893958
328	0.2230257633
329	0.222523747
330	0.2212652891
331	0.220214143
332	0.2194767303
333	0.218734086
334	0.2181225765
335	0.2174307156
336	0.2167736898
337	0.2159955341
338	0.2149150388
339	0.2142652031
340	0.2138706467
341	0.2129599324
342	0.2123513697
343	0.2112970757
344	0.210072233
345	0.2089887552
346	0.2083983326
347	0.2075930002
348	0.2068468593
