iter	Passed	Remaining
0	6	3355
1	169	42120
2	271	44998
3	296	36785
4	312	30923
5	497	40987
6	711	50124
7	929	57142
8	998	54483
9	1141	55919
10	1187	52809
11	1205	49017
12	1418	53146
13	1634	56737
14	1748	56529
15	1929	58370
16	1997	56744
17	2209	59175
18	2433	61608
19	2639	63351
20	2869	65446
21	2946	64011
22	3063	63533
23	3265	64762
24	3511	66712
25	3736	68113
26	3941	69052
27	4136	69727
28	4374	71052
29	4579	71742
30	4685	70892
31	4861	71101
32	5047	71432
33	5274	72293
34	5496	73027
35	5718	73711
36	5935	74276
37	6148	74750
38	6397	75621
39	6606	75979
40	6707	75092
41	6891	75155
42	7139	75881
43	7351	76188
44	7569	76531
45	7769	76681
46	8002	77128
47	8166	76898
48	8357	76924
49	8549	76947
50	8807	77539
51	9011	77634
52	9210	77683
53	9425	77848
54	9631	77924
55	9845	78057
56	10102	78512
57	10303	78517
58	10392	77677
59	10584	77621
60	10836	77985
61	11040	77995
62	11264	78135
63	11539	78611
64	11792	78922
65	11999	78905
66	12188	78768
67	12365	78557
68	12575	78553
69	12787	78552
70	13001	78555
71	13289	78998
72	13522	79099
73	13733	79060
74	13977	79205
75	14205	79250
76	14426	79251
77	14708	79575
78	14930	79565
79	15136	79465
80	15423	79785
81	15657	79813
82	15860	79684
83	16149	79977
84	16371	79930
85	16577	79801
86	16839	79937
87	17067	79904
88	17270	79754
89	17555	79974
90	17781	79920
91	17992	79792
92	18198	79643
93	18487	79851
94	18709	79762
95	18961	79795
96	19211	79815
97	19428	79695
98	19679	79710
99	19934	79736
100	20158	79637
101	20392	79572
102	20623	79491
103	20843	79366
104	21063	79240
105	21266	79046
106	21527	79066
107	21737	78898
108	21943	78714
109	22212	78753
110	22417	78563
111	22611	78331
112	22814	78134
113	23020	77947
114	23223	77747
115	23430	77561
116	23721	77652
117	23950	77535
118	24153	77332
119	24435	77378
120	24671	77277
121	24878	77081
122	25137	77047
123	25353	76879
124	25545	76636
125	25755	76447
126	25958	76241
127	26190	76116
128	26401	75930
129	26622	75771
130	26878	75710
131	27093	75533
132	27290	75306
133	27497	75105
134	27709	74917
135	27909	74698
136	28190	74693
137	28397	74491
138	28642	74388
139	28892	74294
140	29128	74164
141	29337	73964
142	29564	73806
143	29833	73756
144	30047	73564
145	30252	73352
146	30455	73133
147	30736	73103
148	30993	73011
149	31260	72940
150	31521	72854
151	31761	72718
152	31981	72533
153	32181	72304
154	32370	72050
155	32620	71931
156	32866	71803
157	33080	71603
158	33363	71553
159	33596	71391
160	33774	71115
161	33973	70882
162	34167	70640
163	34455	70591
164	34691	70433
165	34904	70230
166	35108	70005
167	35324	69807
168	35599	69724
169	35812	69518
170	36024	69310
171	36269	69165
172	36486	68964
173	36697	68755
174	36913	68552
175	37112	68321
176	37302	68071
177	37503	67843
178	37705	67618
179	37969	67501
180	38187	67302
181	38390	67077
182	38621	66901
183	38868	66751
184	39082	66546
185	39363	66452
186	39589	66264
187	39779	66017
188	39969	65770
189	40178	65555
190	40388	65339
191	40605	65137
192	40862	64998
193	41074	64787
194	41285	64574
195	41494	64359
196	41795	64284
197	42019	64090
198	42197	63826
199	42418	63627
200	42641	63432
201	42838	63196
202	43057	62994
203	43260	62769
204	43460	62540
205	43705	62375
206	43931	62182
207	44145	61973
208	44435	61869
209	44663	61677
210	44868	61455
211	45126	61304
212	45331	61080
213	45554	60881
214	45797	60708
215	46012	60497
216	46221	60279
217	46417	60045
218	46675	59889
219	46888	59676
220	47096	59457
221	47296	59227
222	47548	59062
223	47763	58852
224	47977	58639
225	48218	58459
226	48441	58257
227	48646	58034
228	48872	57835
229	49096	57635
230	49274	57380
231	49516	57200
232	49756	57016
233	49988	56824
234	50219	56630
235	50429	56412
236	50640	56195
237	50923	56058
238	51156	55865
239	51379	55660
240	51585	55437
241	51839	55267
242	52063	55062
243	52268	54839
244	52541	54685
245	52762	54478
246	52974	54261
247	53190	54048
248	53444	53873
249	53640	53640
250	53841	53412
251	54078	53220
252	54278	52990
253	54470	52755
254	54667	52523
255	54946	52371
256	55224	52216
257	55440	52002
258	55684	51814
259	55895	51596
260	56092	51364
261	56300	51142
262	56506	50920
263	56705	50691
264	56914	50471
265	57157	50281
266	57342	50040
267	57541	49811
268	57767	49606
269	57973	49385
270	58186	49168
271	58452	48996
272	58678	48791
273	58871	48558
274	59082	48340
275	59296	48124
276	59511	47909
277	59721	47690
278	59938	47478
279	60191	47293
280	60394	47069
281	60605	46851
282	60852	46661
283	61062	46442
284	61266	46218
285	61452	45981
286	61633	45742
287	61837	45519
288	62049	45302
289	62262	45086
290	62466	44864
291	62648	44626
292	62842	44396
293	63125	44230
294	63364	44033
295	63561	43805
296	63832	43629
297	64063	43425
298	64273	43207
299	64471	42981
300	64670	42755
301	64919	42562
302	65136	42349
303	65353	42135
304	65636	41964
305	65856	41751
306	66072	41537
307	66319	41342
308	66526	41121
309	66745	40908
310	66947	40685
311	67168	40473
312	67389	40261
313	67576	40029
314	67830	39836
315	68038	39617
316	68263	39407
317	68479	39192
318	68731	38998
319	68955	38787
320	69176	38574
321	69423	38376
322	69645	38164
323	69847	37941
324	70080	37735
325	70292	37517
326	70506	37301
327	70761	37106
328	70981	36893
329	71217	36688
330	71435	36473
331	71690	36276
332	71924	36070
333	72139	35853
334	72387	35653
335	72595	35433
