iter	Passed	Remaining
0	349	174636
1	538	134042
2	777	128723
3	1006	124798
4	1238	122566
5	1449	119352
6	1678	118200
7	1852	113937
8	2070	112972
9	2289	112199
10	2507	111469
11	2689	109366
12	2778	104076
13	2964	102904
14	3012	97388
15	3182	96259
16	3390	96342
17	3615	96817
18	3791	95992
19	3865	92763
20	3911	89220
21	4136	89878
22	4334	89899
23	4596	91162
24	4890	92914
25	5111	93184
26	5358	93880
27	5663	95464
28	5794	94102
29	5918	92716
30	6064	91749
31	6280	91855
32	6502	92014
33	6707	91929
34	7010	93134
35	7241	93338
36	7493	93763
37	7736	94059
38	7991	94460
39	8127	93461
40	8345	93429
41	8594	93717
42	8820	93743
43	9048	93774
44	9256	93597
45	9448	93250
46	9665	93161
47	9743	91752
48	9862	90777
49	10060	90546
50	10280	90508
51	10533	90753
52	10751	90674
53	10992	90788
54	11212	90720
55	11438	90694
56	11677	90754
57	11900	90691
58	12124	90626
59	12323	90375
60	12523	90129
61	12729	89927
62	12902	89499
63	13140	89521
64	13380	89545
65	13608	89485
66	13830	89380
67	14060	89325
68	14300	89324
69	14549	89374
70	14788	89356
71	15047	89447
72	15294	89462
73	15542	89471
74	15767	89348
75	16019	89373
76	16253	89289
77	16471	89112
78	16710	89051
79	16960	89042
80	17243	89196
81	17489	89154
82	17707	88963
83	17911	88704
84	18140	88569
85	18359	88382
86	18590	88252
87	18825	88137
88	19060	88019
89	19346	88136
90	19582	88014
91	19852	88040
92	20083	87891
93	20328	87800
94	20571	87701
95	20772	87417
96	20999	87243
97	21250	87171
98	21473	86978
99	21668	86674
100	21907	86545
101	22120	86314
102	22284	85893
103	22496	85659
104	22724	85487
105	22956	85330
106	23209	85246
107	23435	85063
108	23661	84878
109	23990	85057
110	24260	85019
111	24515	84928
112	24767	84822
113	25021	84721
114	25251	84538
115	25548	84573
116	25821	84525
117	26073	84408
118	26321	84272
119	26433	83706
120	26632	83419
121	26888	83310
122	27126	83144
123	27361	82967
124	27598	82794
125	27844	82648
126	28066	82431
127	28280	82189
128	28516	82011
129	28763	81864
130	28989	81658
131	29238	81512
132	29513	81439
133	29778	81336
134	30006	81127
135	30220	80884
136	30452	80688
137	30701	80534
138	30924	80315
139	31147	80093
140	31371	79875
141	31588	79638
142	31810	79414
143	32047	79228
144	32246	78948
145	32483	78760
146	32733	78603
147	32982	78445
148	33220	78257
149	33450	78050
150	33698	77885
151	33919	77656
152	34169	77494
153	34449	77400
154	34676	77184
155	34938	77043
156	35135	76760
157	35377	76575
158	35640	76436
159	35895	76278
160	36185	76191
161	36427	76003
162	36704	75885
163	36969	75743
164	37249	75628
165	37522	75497
166	37790	75354
167	38035	75165
168	38285	74985
169	38534	74801
170	38785	74622
171	39068	74503
172	39359	74395
173	39659	74304
174	39945	74184
175	40201	74008
176	40428	73775
177	40669	73571
178	40900	73346
179	41158	73171
180	41438	73032
181	41661	72793
182	41887	72559
183	42119	72335
184	42340	72093
185	42580	71882
186	42818	71669
187	43032	71416
188	43280	71218
189	43518	71003
190	43749	70778
191	44049	70662
192	44318	70496
193	44561	70288
194	44800	70073
195	45093	69941
196	45364	69773
197	45619	69581
198	45872	69384
199	46119	69179
200	46365	68971
201	46635	68799
202	46991	68750
203	47288	68615
204	47542	68415
205	47857	68301
206	48128	68124
207	48363	67894
208	48612	67684
209	48863	67477
210	49098	67249
211	49304	66979
212	49505	66704
213	49720	66448
214	49935	66193
215	50161	65952
216	50458	65804
217	50709	65596
218	50955	65381
219	51210	65176
220	51453	64957
221	51677	64713
222	51879	64442
223	52100	64194
224	52324	63952
225	52490	63638
226	52726	63410
227	52956	63176
228	53168	62920
229	53414	62703
230	53640	62463
231	53869	62228
232	54104	61999
233	54326	61756
234	54548	61511
235	54788	61289
236	55025	61062
237	55257	60829
238	55489	60597
239	55724	60367
240	55946	60125
241	56202	59917
242	56443	59695
243	56731	59521
244	57004	59331
245	57236	59097
246	57492	58889
247	57768	58699
248	58049	58515
249	58308	58308
250	58554	58088
251	58780	57847
252	59041	57640
253	59326	57457
254	59599	57262
255	59858	57053
256	60112	56837
257	60389	56644
258	60696	56478
259	60962	56272
260	61280	56115
261	61525	55889
262	61783	55675
263	62046	55466
264	62340	55283
265	62701	55158
266	63020	54995
267	63371	54858
268	63693	54696
269	63964	54488
270	64237	54281
271	64516	54080
272	64811	53890
273	65103	53698
274	65443	53544
275	65744	53358
276	65975	53113
277	66193	52859
278	66421	52613
279	66672	52385
280	66925	52158
281	67151	51911
282	67384	51669
283	67622	51431
284	67854	51188
285	68132	50980
286	68438	50792
287	68708	50577
288	69007	50382
289	69259	50153
290	69521	49931
291	69807	49725
292	70101	49525
